"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS12",5.42044628799082e-170,0.785795029842222,1,0.991,7.43360003935061e-166,"0","RPS12"
"RPS6",8.60240854433143e-169,0.728697971678816,1,0.995,1.17973430776961e-164,"0","RPS6"
"RPL32",3.65015909205178e-158,0.660143962430567,0.999,0.995,5.00582817883981e-154,"0","RPL32"
"RPS27",5.70306790546992e-153,0.756262666619074,0.999,0.992,7.82118732556145e-149,"0","RPS27"
"RPS14",5.57449991660636e-151,0.661263107354995,1,0.994,7.64486918563396e-147,"0","RPS14"
"RPS25",7.77597815685564e-141,0.813165014607902,0.999,0.974,1.06639764443118e-136,"0","RPS25"
"RPS3A",2.84099391230772e-135,0.860034274570581,0.997,0.974,3.89613905133881e-131,"0","RPS3A"
"RPL31",5.89413992740288e-135,0.803132569288459,1,0.962,8.0832234964403e-131,"0","RPL31"
"RPL3",4.61967933347886e-133,0.664704058442512,0.997,0.995,6.33542823793291e-129,"0","RPL3"
"RPL9",7.39907804565249e-133,0.790960078556864,0.999,0.97,1.01470956318078e-128,"0","RPL9"
"RPL13",2.9369387924001e-132,0.59647248524781,1,0.996,4.0277178598975e-128,"0","RPL13"
"RPS15A",4.29790580069623e-130,0.69786298363786,0.997,0.983,5.89414801507481e-126,"0","RPS15A"
"LDHB",2.15269919922445e-128,1.28050668089029,0.928,0.58,2.95221168181642e-124,"0","LDHB"
"RPS3",6.93671315816181e-128,0.638292652894886,1,0.994,9.5130084251031e-124,"0","RPS3"
"RPLP2",2.24706776705015e-124,0.648250256337707,1,0.99,3.08162873573258e-120,"0","RPLP2"
"RPL30",5.22036966495092e-123,0.706674794582423,1,0.979,7.15921495851369e-119,"0","RPL30"
"RPL21",6.61084421943525e-121,0.701853698209164,0.997,0.991,9.06611176253351e-117,"0","RPL21"
"EEF1A1",3.40336744185088e-120,0.587357838609366,0.994,0.991,4.6673781097543e-116,"0","EEF1A1"
"RPS27A",1.17993174046396e-116,0.796273060412383,0.997,0.965,1.61815838887228e-112,"0","RPS27A"
"RPS18",9.23103927629656e-113,0.558132475274253,1,0.996,1.26594472635131e-108,"0","RPS18"
"RPS13",4.80042207767692e-106,0.728410291062266,0.99,0.959,6.58329883732612e-102,"0","RPS13"
"RPL13A",7.57847865659706e-106,0.503869458996275,1,0.999,1.03931256296572e-101,"0","RPL13A"
"RPL11",4.74167121464568e-103,0.483194965816134,1,0.995,6.50272790376509e-99,"0","RPL11"
"RPS4X",5.74650886012679e-102,0.569263944680618,0.997,0.992,7.88076225077788e-98,"0","RPS4X"
"RPS28",1.18757999674592e-101,0.678677164097071,0.994,0.967,1.62864720753736e-97,"0","RPS28"
"TPT1",5.19010558318456e-101,0.653506051610398,0.997,0.982,7.11771079677931e-97,"0","TPT1"
"RPL27A",1.12303697043173e-100,0.563055177184164,1,0.987,1.54013290125008e-96,"0","RPL27A"
"RPS23",2.24921955973904e-100,0.607815417690175,1,0.976,3.08457970422612e-96,"0","RPS23"
"RPL35A",7.31378884333442e-99,0.597008567211095,1,0.98,1.00301300197488e-94,"0","RPL35A"
"CCR7",1.32216682418495e-97,2.49700588664147,0.456,0.099,1.81321958268723e-93,"0","CCR7"
"RPS16",1.27306383154516e-96,0.590342194585375,0.997,0.981,1.74587973858103e-92,"0","RPS16"
"RPS29",4.75856530158231e-94,0.776142334833736,0.993,0.902,6.52589645458998e-90,"0","RPS29"
"RPL23A",5.56726525784007e-91,0.567177630997413,1,0.988,7.63494757460187e-87,"0","RPL23A"
"RPL10",8.83733246616011e-90,0.393575869194013,1,0.997,1.2119517744092e-85,"0","RPL10"
"RPL5",2.99435377957102e-88,0.64439240905809,0.99,0.968,4.1064567733037e-84,"0","RPL5"
"RPS20",3.2638537554218e-88,0.704207182747563,0.993,0.94,4.47604904018546e-84,"0","RPS20"
"RPL10A",1.89785081330032e-86,0.606328786372677,0.992,0.985,2.60271260536006e-82,"0","RPL10A"
"RPL19",2.88373647162688e-86,0.432608142036883,0.999,0.993,3.9547561971891e-82,"0","RPL19"
"RPSA",1.0300118104178e-85,0.653346053649707,0.99,0.947,1.41255819680697e-81,"0","RPSA"
"CD3D",3.16911241065172e-79,1.04407368021704,0.857,0.393,4.34612075996776e-75,"0","CD3D"
"MALAT1",4.67031151543229e-78,0.603008033845434,1,0.999,6.40486521226384e-74,"0","MALAT1"
"RPS10",5.79196159424464e-76,0.57360769878484,0.992,0.968,7.9430961303471e-72,"0","RPS10"
"RPS5",2.69747346013574e-75,0.576987947003452,0.992,0.974,3.69931510323015e-71,"0","RPS5"
"NPM1",1.64070516375281e-72,0.851158315800019,0.931,0.792,2.2500630615706e-68,"0","NPM1"
"RPL14",1.20435692392049e-71,0.468066851755046,0.997,0.984,1.65165508546456e-67,"0","RPL14"
"RPL18",9.72270376698155e-71,0.504853910600168,0.999,0.978,1.33337159460385e-66,"0","RPL18"
"RPL36A",1.93177718881177e-67,0.680240605279323,0.975,0.882,2.64923923673646e-63,"0","RPL36A"
"RPLP0",2.46950026679155e-67,0.590484769224391,0.989,0.937,3.38667266587793e-63,"0","RPLP0"
"RPS15",2.26314458403717e-66,0.427208679481457,1,0.989,3.10367648254858e-62,"0","RPS15"
"CD3E",4.46775551714214e-66,1.13189946184061,0.759,0.383,6.12707991620874e-62,"0","CD3E"
"RPL7",5.61004651816904e-65,0.623808772934506,0.986,0.964,7.69361779501702e-61,"0","RPL7"
"RPL36",9.56437917671064e-65,0.571298520698846,0.992,0.946,1.3116589602941e-60,"0","RPL36"
"NOSIP",9.32174391477268e-64,1.33262318602489,0.667,0.34,1.27838396047192e-59,"0","NOSIP"
"RPL4",4.75510192918114e-63,0.580756856154355,0.992,0.956,6.52114678567902e-59,"0","RPL4"
"RPL17",8.58561428421458e-62,0.532702140095703,0.981,0.956,1.17743114293719e-57,"0","RPL17"
"RPS2",1.35678172579601e-61,0.368802967283361,1,0.995,1.86069045875665e-57,"0","RPS2"
"RPS8",2.8959890865338e-60,0.488196947595072,0.997,0.984,3.97155943327246e-56,"0","RPS8"
"LEF1",1.78760428823812e-59,2.12460175502176,0.355,0.094,2.45152052088976e-55,"0","LEF1"
"RPS19",8.94131413773337e-59,0.403840634518835,0.997,0.992,1.22621182084875e-54,"0","RPS19"
"EEF1B2",1.21229167330335e-55,0.597675730066984,0.963,0.86,1.66253680076822e-51,"0","EEF1B2"
"PRKCQ-AS1",6.03851276392226e-54,2.06789912301709,0.35,0.101,8.28121640444298e-50,"0","PRKCQ-AS1"
"RPL18A",6.77350629494291e-54,0.346321924670042,0.999,0.992,9.28918653288471e-50,"0","RPL18A"
"RPL22",1.1217743508297e-50,0.709773386341125,0.922,0.77,1.53840134472785e-46,"0","RPL22"
"PIK3IP1",2.22588595254529e-48,1.51540037198098,0.452,0.176,3.05257999532061e-44,"0","PIK3IP1"
"TMEM66",2.35040122491112e-48,0.821996677288933,0.87,0.688,3.22334023984312e-44,"0","TMEM66"
"RPL24",3.81701021012055e-48,0.502663765861166,0.996,0.937,5.23464780215932e-44,"0","RPL24"
"RPL38",7.08593873361031e-47,0.579933647742376,0.96,0.868,9.71765637927318e-43,"0","RPL38"
"RPS26",1.25176351151863e-46,0.545648010396032,0.971,0.894,1.71666847969665e-42,"0","RPS26"
"RPLP1",1.32853743225389e-46,0.345438457829364,1,0.996,1.82195623459299e-42,"0","RPLP1"
"JUNB",5.29676111524339e-46,0.708006177181373,0.925,0.899,7.26397819344479e-42,"0","JUNB"
"GLTSCR2",6.31694227583599e-46,0.650096429219485,0.936,0.795,8.66305463708148e-42,"0","GLTSCR2"
"CD7",2.95668915189689e-45,0.952199893748751,0.601,0.28,4.05480350291139e-41,"0","CD7"
"IL7R",4.27056817905925e-45,0.98479791470366,0.631,0.317,5.85665720076186e-41,"0","IL7R"
"RPL35",4.84344598825826e-43,0.443354591735067,0.997,0.962,6.64230182829737e-39,"0","RPL35"
"RPL34",7.7604691339942e-41,0.693050071751425,0.946,0.896,1.06427073703596e-36,"0","RPL34"
"RPSAP58",1.69179262139366e-40,0.67057590594293,0.871,0.685,2.32012440097926e-36,"0","RPSAP58"
"RPS21",5.07626994688001e-40,0.544413831154168,0.943,0.836,6.96159660515124e-36,"0","RPS21"
"TCF7",5.21870871012562e-40,1.42679558388993,0.408,0.167,7.15693712506627e-36,"0","TCF7"
